>EML4_ENST00000318522.9,chr2:42169350-42332548
1,42169350,42169636
2,42245505,42245687
3,42256501,42256630
4,42261121,42261294
5,42263178,42263306
6,42264706,42264731
7,42280850,42280973
8,42282823,42282972
9,42284634,42284703
10,42286269,42286379
11,42288227,42288322
12,42295125,42295259
13,42295381,42295516
14,42301241,42301392
15,42303104,42303229
16,42303315,42303446
17,42304484,42304551
18,42315962,42316050
19,42317427,42317524
20,42325467,42325554
21,42326154,42326252
22,42328886,42329016
23,42329734,42332548

>ALK_ENST00000389048.7,chr2:29192774-29921566
1,29919993,29921566
2,29717578,29717697
3,29694850,29695014
4,29531915,29532116
5,29383732,29383859
6,29328350,29328481
7,29320751,29320882
8,29318304,29318404
9,29296888,29297057
10,29275402,29275496
11,29275099,29275227
12,29251105,29251267
13,29239680,29239830
14,29233565,29233696
15,29232304,29232448
16,29228884,29229066
17,29227574,29227672
18,29226922,29227074
19,29225461,29225565
20,29223342,29223528
21,29222517,29222607
22,29222344,29222408
23,29220706,29220835
24,29213984,29214081
25,29209786,29209878
26,29207171,29207272
27,29197542,29197676
28,29196770,29196860
29,29192774,29193922

>BCR_ENST00000305877.12,chr22:23179704-23318037
1,23180210,23182239
2,23253799,23253980
3,23260950,23261054
4,23261355,23261540
5,23268408,23268515
6,23271532,23271592
7,23273081,23273133
8,23273634,23273774
9,23283977,23284098
10,23285033,23285201
11,23287159,23287278
12,23288097,23288172
13,23289517,23289621
14,23290339,23290413
15,23292541,23292638
16,23295024,23295155
17,23309424,23309483
18,23310324,23310433
19,23311697,23311836
20,23312887,23313021
21,23313968,23314073
22,23314552,23314714
23,23315433,23318037

>ABL1_ENST00000318560.5,chr9:130713946-130887675
1,130835066,130835525
2,130854064,130854237
3,130854801,130855096
4,130862763,130863035
5,130872129,130872213
6,130872860,130873037
7,130874868,130875052
8,130878415,130878567
9,130880068,130880157
10,130880500,130880664
11,130883969,130887675

>CCDC6_ENST00000263102.6,chr10:59788763-59906656
1,59906122,59906656
2,59852553,59852702
3,59832525,59832653
4,59814652,59814755
5,59812635,59812795
6,59806922,59807078
7,59804420,59804520
8,59794473,59794597
9,59788763,59793111

>RET_ENST00000355710.7,chr10:43077027-43130351
1,43077027,43077331
2,43100459,43100722
3,43102342,43102629
4,43104952,43105193
5,43106376,43106571
6,43109031,43109230
7,43111207,43111465
8,43112099,43112224
9,43112853,43112963
10,43113556,43113675
11,43114480,43114736
12,43116584,43116731
13,43118373,43118480
14,43119531,43119745
15,43120081,43120203
16,43121946,43122016
17,43123671,43123808
18,43124883,43124982
19,43126575,43126722
20,43128112,43130351

>TMPRSS2_ENST00000332149.9,chr21:41464551-41531116
1,41508081,41508159
2,41498119,41498189
3,41494356,41494578
4,41489507,41489593
5,41488394,41488513
6,41480476,41480602
7,41479172,41479282
8,41476577,41476620
9,41473325,41473496
10,41471806,41471981
11,41470648,41470743
12,41468396,41468538
13,41467734,41467886
14,41464551,41466153

>ERG_ENST00000288319.11,chr21:38380027-38661780
1,38498363,38498483
2,38445404,38445621
3,38423410,38423561
4,38403506,38403709
5,38402557,38402637
6,38400574,38400645
7,38392376,38392444
8,38391659,38391715
9,38390995,38391042
10,38380027,38383923

>NCOA4_ENST00000578454.5,chr10:46005088-46030714
1,46030526,46030607
2,46027432,46027528
3,46016540,46016694
4,46015126,46015266
5,46014854,46014942
6,46014444,46014552
7,46013550,46013639
8,46012883,46013026
9,46010223,46011206
10,46009411,46009551
11,46009124,46009212
12,46006412,46006597

>KIF5B_ENST00000302418.4,chr10:32009010-32056431
1,32055848,32056431
2,32048464,32048551
3,32040384,32040457
4,32039327,32039431
5,32038778,32038826
6,32038163,32038218
7,32037520,32037607
8,32037254,32037378
9,32035890,32035994
10,32035522,32035667
11,32034690,32034838
12,32033845,32034038
13,32032706,32032774
14,32031073,32031279
15,32028428,32028571
16,32022848,32023036
17,32022140,32022257
18,32021226,32021287
19,32021022,32021131
20,32019858,32019959
21,32018502,32018562
22,32018316,32018387
23,32018052,32018156
24,32017143,32017359
25,32015509,32015659
26,32009010,32011516

>TCF3_ENST00000611869.4,chr19:1609290-1652605
1,1650177,1650278
2,1646355,1646427
3,1632332,1632405
4,1632038,1632116
5,1627359,1627426
6,1625576,1625708
7,1623951,1624000
8,1622313,1622415
9,1622054,1622223
10,1621838,1621970
11,1621133,1621191
12,1620968,1621046
13,1619780,1619853
14,1619316,1619474
15,1619111,1619234
16,1615686,1615821
17,1615285,1615520
18,1609293,1611849

>PBX1_ENST00000420696.6,chr1:164555584-164899296
1,164559635,164560013
2,164563238,164563311
3,164792494,164792738
4,164799699,164799889
5,164807542,164807677
6,164811990,164812149
7,164820072,164820184
8,164821537,164821626
9,164846584,164851831

>KMT2A_ENST00000534358.5,chr11:118436490-118526832
1,118436490,118436944
2,118468775,118468844
3,118471662,118474315
4,118476805,118476982
5,118477967,118478201
6,118480174,118480238
7,118481715,118482092
8,118482422,118482495
9,118484183,118484314
10,118484862,118484975
11,118488614,118488760
12,118489792,118489887
13,118490129,118490249
14,118491196,118491318
15,118491744,118491928
16,118493057,118493230
17,118494288,118494398
18,118494694,118494767
19,118495700,118495893
20,118496261,118496367
21,118497936,118498073
22,118498370,118498528
23,118499303,118499420
24,118499835,118499913
25,118500987,118501147
26,118501672,118501857
27,118502398,118506646
28,118507529,118507609
29,118509136,118509200
30,118509948,118510118
31,118511951,118512025
32,118519618,118519792
33,118519957,118520064
34,118520802,118520885
35,118521288,118521417
36,118521897,118526832

>AFF1_ENST00000307808.10,chr4:86935002-87141054
1,87006988,87007424
2,87046166,87046286
3,87046695,87047594
4,87084120,87084164
5,87089984,87090070
6,87091793,87091829
7,87094915,87094969
8,87105628,87105682
9,87105808,87105845
10,87108159,87108315
11,87114367,87115299
12,87125037,87125143
13,87126099,87126336
14,87127026,87127117
15,87127643,87127703
16,87131083,87131219
17,87131793,87131864
18,87132271,87132408
19,87134474,87134694
20,87135580,87141038

>ETV6_ENST00000396373.8,chr12:11649854-11895402
1,11649854,11650160
2,11752450,11752579
3,11839140,11839304
4,11853427,11853561
5,11869424,11869969
6,11884445,11884587
7,11885926,11886026
8,11890941,11895402

>RUNX1_ENST00000344691.8,chr21:34787801-36004667
1,34886843,34888690
2,34880557,34880713
3,34859474,34859578
4,34834410,34834601
5,34799301,34799462
6,34787801,34792610

>EWSR1_ENST00000397938.6,chr22:29268009-29300525
1,29268018,29268349
2,29272216,29272252
3,29272380,29272431
4,29273741,29273864
5,29278030,29278216
6,29282390,29282557
7,29286923,29287134
8,29288606,29288786
9,29291562,29291599
10,29292137,29292169
11,29292488,29292606
12,29296239,29296368
13,29297827,29297949
14,29298733,29298895
15,29299234,29299331
16,29299599,29299851
17,29300122,29300525

>FLI1_ENST00000527786.6,chr11:128686535-128813267
1,128693770,128694276
2,128758115,128758326
3,128768118,128768272
4,128772782,128772985
5,128781958,128782023
6,128805366,128805431
7,128807180,128807239
8,128809157,128809204
9,128810459,128813267

>STIL_ENST00000360380.7,chr1:47250139-47314147
1,47314036,47314147
2,47312948,47313156
